vendor_id,pickup_datetime,dropoff_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,rate_code,passenger_count,trip_distance,payment_type,fare_amount,extra,mta_tax,imp_surcharge,tip_amount,tolls_amount,total_amount,store_and_fwd_flag
VTS,1.25647518E9,1.25647518E9,-73.969102,40.759497,-73.969167,40.759538,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.2388713E9,1.2388713E9,-73.984443,40.752685,-73.984412,40.752782,,3,0.01,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.25285376E9,1.25285382E9,-74.007172,40.7053,-74.007357,40.705397,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.23227316E9,1.23227322E9,-73.957065,40.817413,-73.957455,40.816985,,2,0.09,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.23617436E9,1.23617436E9,-73.971877,40.749992,-73.971878,40.749997,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.25362482E9,1.25362482E9,-73.937302,40.75824,-73.937302,40.75824,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.23712164E9,1.23712164E9,-73.790397,40.64592,-73.790397,40.64592,,5,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
DDS,1.251287436E9,1.251288285E9,-73.965739,40.754325,-73.984571,40.769554,,1,1.7,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.24067502E9,1.24067508E9,-73.958312,40.800798,-73.95853,40.800585,,1,0.02,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.25354166E9,1.25354172E9,-73.999635,40.738302,-73.997253,40.73794,,1,0.1,CSH,2.5,0.0,,,0.0,0.0,2.5,
DDS,1.257001875E9,1.257001906E9,-73.950862,40.752603,-73.950862,40.752603,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.23451008E9,1.23451014E9,-73.949772,40.748033,-73.951285,40.748063,,1,0.11,CSH,2.5,0.0,,,0.0,0.0,2.5,
DDS,1.239027394E9,1.239028021E9,-73.970429,40.763832,-73.972585,40.759527,,1,0.6,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.25673198E9,1.25673198E9,-73.959992,40.815095,-73.959992,40.815095,,5,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.23338718E9,1.23338718E9,-73.942313,40.788985,-73.942313,40.788985,,5,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
DDS,1.236319317E9,1.236319336E9,-74.000206,40.757697,-74.000206,40.757697,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.24868136E9,1.24868136E9,-73.969812,40.760933,-73.969812,40.760933,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
DDS,1.246429641E9,1.246429658E9,-73.991844,40.764729,-73.99182,40.764783,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
CMT,1.232962303E9,1.232962308E9,-73.971695,40.794841,-73.971695,40.794841,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.25468232E9,1.25468238E9,-74.00886,40.731168,-74.008123,40.731045,,2,0.04,CSH,2.5,0.0,,,0.0,0.0,2.5,
DDS,1.241187269E9,1.24118797E9,-73.976588,40.775205,-73.992389,40.759258,,1,1.5,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.23684876E9,1.23684876E9,-73.979702,40.750388,-73.980107,40.749598,,1,0.02,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.33363626E9,1.33363626E9,-73.937483,40.758112,-73.937483,40.758112,1,1,0.0,CSH,2.5,0.0,0.0,,0.0,0.0,2.5,
DDS,1.24489625E9,1.244897434E9,-73.982179,40.75524,-73.941979,40.806345,,1,4.4,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.25102766E9,1.25102772E9,-74.001745,40.735537,-74.001745,40.735537,,5,0.05,CRD,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.2393726E9,1.23937266E9,-73.937342,40.758233,-73.937318,40.758225,,1,0.0,CRD,2.5,0.0,,,0.0,0.0,2.5,
DDS,1.242400578E9,1.242401384E9,-73.968747,40.750289,-73.962375,40.76977,,1,1.5,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.2551739E9,1.2551739E9,-73.74939,40.718763,-73.749393,40.71876,,5,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
DDS,1.232966713E9,1.232966779E9,-73.950625,40.752639,-73.950625,40.752639,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
DDS,1.245685881E9,1.245686721E9,-73.983008,40.756585,-73.971969,40.786434,,1,2.6,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.24514322E9,1.24514322E9,-73.882157,40.727317,-73.763378,40.653242,,2,0.01,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.2446334E9,1.2446334E9,-73.961395,40.756395,-73.961395,40.756395,,1,0.01,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.24611606E9,1.24611606E9,0.0,0.0,-73.928925,40.746502,,2,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
CMT,1.232291721E9,1.23229173E9,-73.948838,40.777892,-73.948838,40.777892,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.24264116E9,1.24264122E9,-73.97,40.789733,-73.97,40.789733,,3,0.02,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.24168752E9,1.24168752E9,-73.952768,40.74822,-73.952768,40.74822,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
DDS,1.253545425E9,1.253546346E9,-74.011316,40.701856,-73.954037,40.770469,,1,6.3,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.26278214E9,1.2628224E9,0.0,0.0,-73.979443,40.786843,1,1,0.01,CAS,2.5,0.0,0.0,,0.0,0.0,2.5,
VTS,1.23719436E9,1.23719442E9,-73.989702,40.720585,-73.98918,40.721328,,5,0.07,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.24989912E9,1.24989918E9,-73.989858,40.742113,-73.989858,40.742113,,5,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.2423054E9,1.24230546E9,-73.989117,40.778725,-73.988805,40.77796,,1,0.1,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.25517246E9,1.25517246E9,-73.999603,40.74391,-73.999428,40.744057,,6,0.03,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.24228284E9,1.24228284E9,-73.954108,40.813115,-73.954097,40.813125,,5,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
DDS,1.256738023E9,1.256739696E9,-73.98116,40.764083,-74.00807,40.709049,,1,5.4,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.2465168E9,1.24651686E9,-73.958692,40.760045,-73.958783,40.759957,,1,0.03,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.23220044E9,1.23220044E9,-73.984812,40.728137,-73.984798,40.728157,,3,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
CMT,1.236167323E9,1.236168008E9,-73.953382,40.778472,-73.947587,40.798821,,1,2.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
DDS,1.257267491E9,1.25726875E9,-73.789163,40.647701,-73.731813,40.726557,,2,9.8,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.24903752E9,1.24903758E9,-73.979845,40.76566,-73.979845,40.76566,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.25199252E9,1.25199252E9,-73.789193,40.6418,-73.789193,40.6418,,5,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
